	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic
1984    ND      ND      ND      ND      0.5     2.5     3.0     0.5     5.0     2.5     9.0     7.5
1985    15.5    14.5    6.5     7.0     7.0     2.0     0.0     3.0     5.5     6.5     13.5    2.5
1986    11.0    13.0    7.5     6.5     1.0     1.0     0.0     0.5     1.5     5.5     4.5     3.5
1987    11.0    2.0     11.0    13.0    8.0     2.0     0.0     1.0     11.5    12.0    4.5     4.0
1988    8.5     6.5     1.0     5.0     5.5     2.0     1.5     1.5     4.5     11.0    5.0     9.5
1989    6.0     12.5    8.0     5.0     5.0     0.5     2.0     4.0     6.5     17.0    18.0    17.5
1990    8.5     2.0     14.0    15.5    6.5     2.5     3.0     2.0     12.0    5.5     9.5     15.5
1991    2.5     6.5     13.0    6.0     3.0     1.0     0.0     0.5     6.0     11.5    13.5    15.0
1992    10.5    14.0    8.5     5.0     3.0     3.0     0.0     2.0     3.5     14.0    6.5     15.0
1993    8.0     10.0    11.5    3.5     11.5    0.0     0.0     1.5     7.5     9.0     14.5    7.0
1994    14.5    4.5     5.5     6.0     4.0     1.0     1.0     1.0     4.0     12.5    7.0     6.0
1995    3.5     4.5     15.5    1.0     3.5     1.5     1.0     5.0     8.0     7.5     16.0    13.0
1996    18.5    13.5    16.0    10.0    14.5    0.0     1.0     3.0     8.0     6.0     11.0    15.0
1997    20.5    8.5     10.5    10.5    8.0     2.5     1.0     2.5     8.0     10.0    9.0     1.5
1998    ND      6.0     10.0    1.0     5.0     ND      ND      ND      1.5     2.0     3.5     4.0
1999    24.0    1.5     6.5     3.5     ND      0.5     0.0     1.5     2.0     6.1     20.0    9.7
2000    20.7    4.6     3.2     8.5     7.4     ND      ND      1.1     1.0     4.5     2.0     7.5
2001    0.0     1.5     7.0     4.3     0.8     ND      ND      0.5     11.3    16.0    16.3    15.0
2002    15.5    12.0    15.0    16.0    6.0     1.5     1.0     3.5     10.5    5.0     11.0    13.5
2003    11.6    8.8     9.8     9.3     2.3     1.5     2.0     3.8     2.4     16.5    6.0     5.5
2004    6.0     17.5    10.0    17.5    10.0    4.0     6.0     3.0     11.0    15.0    16.5    16.5
2005    12.5    28.0    11.5    6.5     8.0     3.0     4.5     1.0     ND      ND      ND      ND
